,county,state,lat,lon
10888,Gadsden,Florida,30.579483235295708,-84.61362799096582
10946,Decatur,Georgia,30.878348705381367,-84.57905499132258
10947,Dodge,Georgia,32.172216448712106,-83.16841423784113
10967,Jackson,Georgia,34.13389132959365,-83.56636696418592
10969,Jones,Georgia,33.02513141766969,-83.56049923221796
10975,Long,Georgia,31.752560417459645,-81.74569965182158
11002,Taylor,Georgia,32.5559047345101,-84.25186653988699
11004,Thomas,Georgia,30.863761483119365,-83.91931942859034
11009,Ware,Georgia,31.05377661198473,-82.42371774318137
11011,White,Georgia,34.64638824750913,-83.74711356380494
11013,Wilkes,Georgia,33.7819533212046,-82.74320374399313
11284,Kent,Maryland,39.25454501410858,-76.03993188732531
11297,Dukes,Massachusetts,41.38787451773758,-70.62802455643315
11569,Chautauqua,New York,42.228166453837936,-79.36632968098169
11579,Franklin,New York,44.59286966654633,-74.30383648117827
11619,Bertie,North Carolina,36.06617440064496,-76.97866890713219
11622,Burke,North Carolina,35.74961351960302,-81.70476481621283
11624,Caldwell,North Carolina,35.95303725242755,-81.54641384433845
11629,Cleveland,North Carolina,35.33403266279426,-81.55559391100113
11634,Duplin,North Carolina,34.93654245085169,-77.93300985102125
11643,Hertford,North Carolina,36.35907274404734,-76.98200488193746
11648,Lenoir,North Carolina,35.23877758214694,-77.64124767614922
11650,McDowell,North Carolina,35.68171688566721,-82.04931349444809
11656,Northampton,North Carolina,36.417768874489134,-77.39686372942033
11806,Greene,Pennsylvania,39.85384297762258,-80.22292549394163
11810,Lawrence,Pennsylvania,40.99125511797685,-80.33423150822262
